id_central,id_infotecnica,nombre_infotecnica,nombre_propietario,comuna,tipo_central,nemotecnico,estado,n_unidades_generadoras,punto_conexion_sen,capacidad_maxima_mw,fecha_entrada_operacion,tipo_conversion_energia,combustible,tipo_tecnologia,segmento_generacion,cut_comuna
3,171,ESCUADRON,ELECTRICA NUEVA ENERGIA S.A.,CORONEL,TERMOELECTRICA,CE01G0032,OPERATIVA,2,S/E FPC 6KV,12.4541,06-03-2008,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,8102
4,84,ARAUCO,CELULOSA ARAUCO Y CONSTITUCION S.A.,ARAUCO,TERMOELECTRICA,CE07L0089,OPERATIVA,2,S/E PLANTA ARAUCO 66KV,57,10-04-1996,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,8202
5,84,ARAUCO,CELULOSA ARAUCO Y CONSTITUCION S.A.,ARAUCO,TERMOELECTRICA,CE07L0089,OPERATIVA,2,S/E PLANTA ARAUCO 66KV,57,10-04-1996,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,8202
6,84,ARAUCO,CELULOSA ARAUCO Y CONSTITUCION S.A.,ARAUCO,TERMOELECTRICA,CE07L0089,OPERATIVA,2,S/E PLANTA ARAUCO 66KV,57,10-04-1996,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,8202
7,329,CMPC TISSUE,CMPC TISSUE S.A.,TALAGANTE,TERMOELECTRICA,CE01L0103,OPERATIVA,1,S/E ISLA DE MAIPO 66 KV,3.9,16-06-2016,TERMOELECTRICA,GAS NATURAL,TERMOELECTRICA DE TURBINA A GAS,PMG,13601
8,252,CMPC LAJA,CMPC PULP SPA.,LAJA,TERMOELECTRICA,CE02A0021,OPERATIVA,2,S/E  CELULOSA LAJA 220KV,40.447,01-05-2013,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,8304
9,168,MASISA,NEOMAS SPA,CABRERO,TERMOELECTRICA,CE01G0079,OPERATIVA,1,S/E MASISA 66KV,11,08-01-2011,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,8303
10,168,MASISA,NEOMAS SPA,CABRERO,TERMOELECTRICA,CE01G0079,OPERATIVA,1,S/E MASISA 66KV,11,08-01-2011,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,8303
11,168,MASISA,NEOMAS SPA,CABRERO,TERMOELECTRICA,CE01G0079,OPERATIVA,1,S/E MASISA 66KV,11,08-01-2011,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,8303
12,326,CMPC CORDILLERA,PAPELES CORDILLERA SPA,PUENTE ALTO,TERMOELECTRICA,CE01L0079,OPERATIVA,1,S/E PUENTE ALTO CMPC 110KV,51.85,25-04-2016,TERMOELECTRICA,GNL,TERMOELECTRICA DE TURBINA A GAS,UTILITY,13201
13,218,ENERGIA PACIFICO,ENERGIA PACIFICO S.A.,MOSTAZAL,TERMOELECTRICA,CE01G0087,OPERATIVA,1,S/E MOSTAZAL 66KV,14.3052,01-04-2014,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,6110
17,86,LICANTEN,CELULOSA ARAUCO Y CONSTITUCION S.A.,LICANTEN,TERMOELECTRICA,CE04L0089,OPERATIVA,1,S/E LICANTEN 66KV,6,28-04-2004,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,PMG,7303
18,166,LOMA LOS COLORADOS II,KDM ENERGIA S.A.,TILTIL,TERMOELECTRICA,CE02G0059,OPERATIVA,16,S/E LOMA LOS COLORADOS 23KV,19.84,20-09-2011,TERMOELECTRICA,BIOGAS,MOTOR DE COMBUSTION INTERNA,UTILITY,13303
19,166,LOMA LOS COLORADOS II,KDM ENERGIA S.A.,TILTIL,TERMOELECTRICA,CE02G0059,OPERATIVA,16,S/E LOMA LOS COLORADOS 23KV,19.84,20-09-2011,TERMOELECTRICA,BIOGAS,MOTOR DE COMBUSTION INTERNA,UTILITY,13303
20,168,MASISA,NEOMAS SPA,CABRERO,TERMOELECTRICA,CE01G0079,OPERATIVA,1,S/E MASISA 66KV,11,08-01-2011,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,8303
21,80,NUEVA ALDEA II,ARAUCO BIOENERGIA SPA,RANQUIL,TERMOELECTRICA,CE02G0002,OPERATIVA,1,S/E NUEVA ALDEA 15KV,9.88555,01-05-2006,TERMOELECTRICA,DIESEL,TERMOELECTRICA DE TURBINA A GAS,UTILITY,16206
22,240,SANTA MARTA,CONSORCIO SANTA MARTA S.A.,TALAGANTE,TERMOELECTRICA,CE01G0111,OPERATIVA,10,S/E SANTA MARTA 23 KV,14.185,31-03-2014,TERMOELECTRICA,BIOGAS,MOTOR DE COMBUSTION INTERNA,UTILITY,13601
23,227,VINALES,MADERAS ARAUCO S.A.,CONSTITUCION,TERMOELECTRICA,CE01L0003,OPERATIVA,1,S/E PLANTA VINALES 66KV,22,01-07-2013,TERMOELECTRICA,BIOMASA,TERMOELECTRICA DE TURBINA A VAPOR,UTILITY,7102
24,1690,ALENA,AR ALENA SPA,LOS ANGELES,EOLICA,CE01G0580,OPERATIVA,18,ID2263 S/E CENTRAL EOLICA ALENA,83.92,13-12-2021,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,8301
25,276,EL ARRAYAN,PARQUE EOLICO EL ARRAYAN SPA,OVALLE,EOLICA,CE01G0130,OPERATIVA,50,S/E DON GOYO 220KV,114.9885,06-06-2014,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,4301
26,512,AURORA,AELA EOLICA LLANQUIHUE SPA,LLANQUIHUE,EOLICA,CE01G0278,OPERATIVA,43,S/E CENTRAL PARQUE EOLICO AURORA,126.6,11-11-2020,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,10107
27,345,LOS BUENOS AIRES,ENEL GREEN POWER CHILE S.A.,LOS ANGELES,EOLICA,CE05G0292,OPERATIVA,12,S/E CENTRAL PE BUENOS AIRES 66KV,23.85,30-08-2016,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,8301
28,478,CABO LEONES,PARQUE EOLICO CABO LEONES I S.A.,FREIRINA,EOLICA,CE01G0299,OPERATIVA,no aplica,ID2721-BA S/E CENTRAL PARQUE EOLICO CABO LEONES I 220KV BP1,175.1989,12-06-2018,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,3303
29,478,CABO LEONES,PARQUE EOLICO CABO LEONES I S.A.,FREIRINA,EOLICA,CE01G0299,OPERATIVA,no aplica,ID2721-BA S/E CENTRAL PARQUE EOLICO CABO LEONES I 220KV BP1,175.1989,12-06-2018,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,3303
30,478,CABO LEONES,PARQUE EOLICO CABO LEONES I S.A.,FREIRINA,EOLICA,CE01G0299,OPERATIVA,no aplica,ID2721-BA S/E CENTRAL PARQUE EOLICO CABO LEONES I 220KV BP1,175.1989,12-06-2018,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,3303
31,1845,CAMPO LINDO,PARQUE EOLICO CAMPO LINDO SPA,LOS ANGELES,EOLICA,CE01G0693,OPERATIVA,15,ID 2330 - S/E CAMPO LINDO,62.945,03-04-2023,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,8301
32,118,CANELA,ENEL GENERACION CHILE S.A.,CANELA,EOLICA,CE20G0021,OPERATIVA,11,S/E LAS PALMAS 220KV BA-B,17.9685,27-12-2007,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,4202
33,118,CANELA,ENEL GENERACION CHILE S.A.,CANELA,EOLICA,CE20G0021,OPERATIVA,11,S/E LAS PALMAS 220KV BA-B,17.9685,27-12-2007,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,4202
34,1712,CERRO TIGRE,AR CERRO TIGRE SPA,ANTOFAGASTA,EOLICA,CE01G0560,OPERATIVA,44,ID2282 - S/E CENTRAL CERRO TIGRE,182.05,08-03-2022,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,2101
35,251,CUEL,AELA EOLICA NEGRETE SPA,LOS ANGELES,EOLICA,CE01G0122,OPERATIVA,22,S/E CENTRAL CUEL 154KV,32.4951,05-02-2014,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,8301
36,1682,LA ESTRELLA,EOLICA LA ESTRELLA SPA,LITUECHE,EOLICA,CE01G0576,OPERATIVA,11,ID 3330 BA S/E LA ESTRELLA 110KV B1,49.1,24-06-2021,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,6203
37,1819,LLANOS DEL  VIENTO,AR LLANOS DEL VIENTO SPA,ANTOFAGASTA,EOLICA,CE01G0653,OPERATIVA,no aplica,S/E O'HIGGINS 220 KV,157.011,31-03-2023,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,2101
38,1800,LOMAS DE DUQUECO,WPD DUQUECO SPA,LOS ANGELES,EOLICA,CE01G0659,OPERATIVA,14,ID2311 - S/E LOS ANGELES SUR,58,03-08-2022,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,8301
39,318,LOS CURUROS,PARQUE EOLICO LOS CURUROS SPA,OVALLE,EOLICA,CE15G0132,OPERATIVA,57,S/E LA CEBADA 220KV,107.7,23-07-2014,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,4301
40,1758,MESAMAVIDA,ENERGIA EOLICA MESAMAVIDA SPA,LOS ANGELES,EOLICA,CE15G0689,OPERATIVA,12,2119 -  S/E SANTA LUISA,60,29-07-2022,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,8301
41,145,MONTE REDONDO,EOLICA MONTE REDONDO SPA,OVALLE,EOLICA,CE01G0050,OPERATIVA,24,TAP OFF MONTE REDONDO 220KV,47.52,06-01-2010,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,4301
42,1667,NEGRETE,WPD NEGRETE SPA,NEGRETE,EOLICA,CE01G0561,OPERATIVA,10,ID 1077 BA S/E NEGRETE 66KV B1,35.34,15-06-2021,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,8307
43,516,SARCO,AELA EOLICA SARCO SPA,FREIRINA,EOLICA,CE01G0332,OPERATIVA,50,S/E SARCO,167.56,15-07-2020,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,3303
44,1685,CALAMA,ENGIE ENERGIA CHILE S.A.,CALAMA,EOLICA,CE12G0216,OPERATIVA,36,ID 224 TAP OASIS 220KV,160.696,29-10-2021,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,2201
45,282,PUNTA PALMERAS,PUNTA PALMERAS S.A.,CANELA,EOLICA,CE01G0144,OPERATIVA,15,S/E LAS PALMAS 220KV,44.7048,19-11-2014,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,4202
46,531,PUNTA SIERRA,PACIFIC HYDRO PUNTA SIERRA SPA,OVALLE,EOLICA,CE04G0444,OPERATIVA,32,ID 2772 BA S/E PUNTA SIERRA 220KV BP1,81.185,05-06-2019,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,4301
47,365,SAN JUAN,SAN JUAN S.A.,FREIRINA,EOLICA,CE01G0204,OPERATIVA,56,S/E EOLICA SAN JUAN 220KV,189.4,16-03-2017,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,3303
48,268,SAN PEDRO,ALBA SPA,DALCAHUE,EOLICA,CE01G0136,OPERATIVA,20,S/E CENTRAL SAN PEDRO DALCAHUE 110KV,35.9964,27-06-2014,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,10205
49,268,SAN PEDRO,ALBA SPA,DALCAHUE,EOLICA,CE01G0136,OPERATIVA,20,S/E CENTRAL SAN PEDRO DALCAHUE 110KV,35.9964,27-06-2014,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,10205
50,454,SIERRA GORDA ESTE,ENEL GREEN POWER CHILE S.A.,SIERRA GORDA,EOLICA,CE01G0292,OPERATIVA,56,S/E EL ARRIERO,110.619,04-04-2018,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,2103
51,238,TALINAY ORIENTE,PARQUE TALINAY ORIENTE S.A.,OVALLE,EOLICA,CE01G0104,OPERATIVA,45,S/E CENTRAL TALINAY ORIENTE 220KV,89.55,13-04-2013,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,4301
52,289,TALINAY PONIENTE,ENEL GREEN POWER CHILE S.A.,OVALLE,EOLICA,CE16G0292,OPERATIVA,32,S/E CENTRAL TALINAY ORIENTE 220KV,60.098,26-05-2015,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,4301
54,1691,TCHAMMA,AR TCHAMMA SPA,CALAMA,EOLICA,CE01G0554,OPERATIVA,35,S/E TCHAMMA,171.777,21-02-2022,EOLICA,NO APLICA,PARQUE EOLICO,UTILITY,2201
56,385,EL AGUILA,ENGIE ENERGIA CHILE S.A.,ARICA,SOLAR,CE06G0216,OPERATIVA – AUTODESPACHO DS88,1,TAP OFF EL AGUILA,2.014,04-10-2018,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,PMG,15101
57,599,ALMEYDA,ALMEYDA SPA,CHANARAL,SOLAR,CE02G0651,OPERATIVA,17,ID 2748 BA S/E CUMBRES 220 KV BP2,56,05-05-2020,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,3201
58,374,ANDES SOLAR,ANDES SOLAR SPA,ANTOFAGASTA,SOLAR,CE12G1076,OPERATIVA,1,S/E ANDES SOLAR,21.425,28-05-2016,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2101
59,374,ANDES SOLAR,ANDES SOLAR SPA,ANTOFAGASTA,SOLAR,CE12G1076,OPERATIVA,1,S/E ANDES SOLAR,21.425,28-05-2016,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2101
60,374,ANDES SOLAR,ANDES SOLAR SPA,ANTOFAGASTA,SOLAR,CE12G1076,OPERATIVA,1,S/E ANDES SOLAR,21.425,28-05-2016,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2101
61,1696,AZABACHE,ENEL GREEN POWER CHILE S.A.,CALAMA,SOLAR,CE36G0292,OPERATIVA,no aplica,ID 2247 - S/E CHIU CHIU,58.0703,09-08-2022,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2201
62,456,BOLERO,BOLERO SPA,SIERRA GORDA,SOLAR,CE01G0233,OPERATIVA,1,S/E BOLERO 220KV,135.7,06-04-2018,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2103
63,1704,CAMPOS DEL SOL,ENEL GREEN POWER CHILE S.A.,COPIAPO,SOLAR,CE27G0292,OPERATIVA,no aplica,ID563-S/E CARRERA PINTO,363.7962,18-01-2023,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,3101
64,1705,CAPRICORNIO,ENGIE ENERGIA CHILE S.A.,ANTOFAGASTA,SOLAR,CE15G0216,OPERATIVA,1,ID 2272 S/E ELEVADORA CAPRICORNIO,88.6173,21-11-2022,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2101
1360,1705,CAPRICORNIO,ENGIE ENERGIA CHILE S.A.,ANTOFAGASTA,SOLAR,CE15G0216,OPERATIVA,1,ID 2272 S/E ELEVADORA CAPRICORNIO,88.6173,21-11-2022,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2101
65,285,CHANARES,ENEL GREEN POWER CHILE S.A.,DIEGO DE ALMAGRO,SOLAR,CE15G0292,OPERATIVA,1,S/E TAP CHANARES 110KV,35.892,28-05-2015,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,3202
66,356,CONEJO SOLAR,CONEJO SOLAR SPA,TALTAL,SOLAR,CE01G0195,OPERATIVA,1,S/E CENTRAL CONEJO 220KV,102.5864,08-09-2016,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2104
68,1794,DOMEYKO,ARCADIA GENERACION SOLAR S.A.,ANTOFAGASTA,SOLAR,CE03G0975,OPERATIVA,100,ID1922-S/E PURI,201.61,29-12-2022,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2101
69,425,DONA CARMEN SOLAR,ENERGIA CERRO EL MORADO S.A.,LA LIGUA,SOLAR,CE01G0271,OPERATIVA,1,S/E DONA CARMEN 220KV,34.542,29-11-2017,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,5401
70,426,EL PELICANO,EL PELICANO SOLAR COMPANY SPA,LA HIGUERA,SOLAR,CE01G0246,OPERATIVA,1,S/E EL PELICANO 220KV,105.032,13-09-2018,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,4104
71,418,EL ROMERO,ACCIONA ENERGIA CHILE HOLDINGS S.A.,VALLENAR,SOLAR,CE01G0265,OPERATIVA,no aplica,S/E EL ROMERO 220KV ,196,03-03-2017,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,3301
72,144,ESPERANZA,ENORCHILE S.A.,REQUINOA,TERMOELECTRICA,CE01G0034,OPERATIVA,3,"S/E MINERA VALLE CENTRAL 4,16KV B1",19.2546,27-06-2007,TERMOELECTRICA,DIESEL,TERMOELECTRICA DE TURBINA A GAS / MOTOR DE COMBUSTION INTERNA,UTILITY,6116
73,399,FINIS TERRAE,ENEL GREEN POWER CHILE S.A.,MARIA ELENA,SOLAR,CE02G0292,OPERATIVA,no aplica,ID 2262 – BA S/E RANDE 220KV,241.394,18-04-2017,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,2302
75,639,GRANJA SOLAR,COPEC RENOVABLES SPA,POZO ALMONTE,SOLAR,CE01G0884,OPERATIVA,no aplica,PANO J11 S/E LAGUNAS 220KV,109.59,30-06-2020,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,1401
76,1900,GUANCHOI,ENEL GREEN POWER CHILE S.A.,DIEGO DE ALMAGRO,SOLAR,CE30G0292,OPERATIVA,1,ID 3596 – BA S/E BELLA MONICA 220 KV BP1,356.6098,26-06-2023,FOTOVOLTAICA,NO APLICA,PARQUE FOTOVOLTAICO,UTILITY,3202
