id_central;nombre;tecnologia;tipo_central;observacion;id_empresa
0;No Central ;0;0;;0.0
1;ANGAMOS;BESS;BESS;;0.0
2;ARICA;BESS;BESS;;0.0
3;ESCUADRON;BioMasa;TERMOELECTRICA;;0.0
4;ARAUCO;BioMasa;TERMOELECTRICA;;0.0
5;ARAUCO_MAPA_1;BioMasa;TERMOELECTRICA;;0.0
6;ARAUCO_MAPA_2;BioMasa;TERMOELECTRICA;;0.0
7;CMPC TISSUE;Termica;TERMOELECTRICA;;0.0
8;CMPC_LAJA;BioMasa;TERMOELECTRICA;;0.0
9;COMASA;BioMasa;TERMOELECTRICA;;0.0
10;COMASA_U1;BioMasa;TERMOELECTRICA;;0.0
11;COMASA_U2;BioMasa;TERMOELECTRICA;;0.0
12;CORDILLERA;Termica;TERMOELECTRICA;;0.0
13;ENERGIA_PACIFICO;BioMasa;TERMOELECTRICA;;0.0
14;PMGD TER LOMAS COLORADAS;BioMasa;Central;;0.0
15;TER ESCUADRON;BioMasa;Central;;0.0
16;LAJA_E.VERDE;BioMasa;Central;;
17;LICANTEN;BioMasa;TERMOELECTRICA;;0.0
18;LOMA_LOS_COLORADOS_1;Biogas;TERMOELECTRICA;;0.0
19;LOMA_LOS_COLORADOS_2;Biogas;TERMOELECTRICA;;0.0
20;MASISA;BioMasa;TERMOELECTRICA;;0.0
21;NUEVA_ALDEA;BioMasa;TERMOELECTRICA;;0.0
22;SANTA_MARTA;Biogas;TERMOELECTRICA;;0.0
23;VINALES;BioMasa;TERMOELECTRICA;;0.0
24;ALENA;Eolico;EOLICA;;0.0
25;ARRAYAN;Eolico;EOLICA;;0.0
26;AURORA;Eolico;EOLICA;;0.0
27;BUENOS_AIRES;Eolico;EOLICA;;0.0
28;CABO_LEONES_I;Eolico;EOLICA;;0.0
29;CABO_LEONES_II;Eolico;EOLICA;;0.0
30;CABO_LEONES_III;Eolico;EOLICA;;0.0
31;CAMPO_LINDO;Eolico;EOLICA;;0.0
32;CANELA_1;Eolico;EOLICA;;0.0
33;CANELA_2;Eolico;EOLICA;;0.0
34;CERROTIGRE;Eolico;EOLICA;;0.0
35;CUEL;Eolico;EOLICA;;0.0
36;LAESTRELLA;Eolico;EOLICA;;0.0
37;LLANOS_DEL_VIENTO;Eolico;EOLICA;;0.0
38;LOMAS_DUQUECO;Eolico;EOLICA;;0.0
39;LOS_CURUROS;Eolico;EOLICA;;0.0
40;MESAMAVIDA;Eolico;EOLICA;;0.0
41;MONTE_REDONDO;Eolico;EOLICA;;0.0
42;NEGRETE;Eolico;EOLICA;;0.0
43;PARQUE_EOLICO_SARCO;Eolico;EOLICA;;0.0
44;PECALAMA;Eolico;EOLICA;;0.0
45;PUNTA_PALMERAS;Eolico;EOLICA;;0.0
46;PUNTA_SIERRA;Eolico;EOLICA;;0.0
47;SAN_JUAN_LAP;Eolico;EOLICA;;0.0
48;SAN_PEDRO;Eolico;EOLICA;;0.0
49;SAN_PEDRO2;Eolico;EOLICA;;0.0
50;SIERRAGORDAE;Eolico;EOLICA;;0.0
51;TALINAY_ORIENTE;Eolico;EOLICA;;0.0
52;TALINAY_PONIENTE;Eolico;EOLICA;;0.0
53;TALTAL;Eolico;Central;;0.0
54;TCHAMMA;Eolico;EOLICA;;0.0
55;VALLEDELOSVIENTOS;Eolico;Central;;0.0
