id_unidad_generacion;Nombre;id_central;Combustible
0;Sin Unidad Generacion;0;
1;AGUASBLANCAS-AGB_DIESEL;377;Diesel
2;ANDINA-CTA_CAR;251;Carbon
3;ANGAMOS-ANG1_CAR;222;Carbon
4;ANGAMOS-ANG2_CAR;223;Carbon
5;ANGOSTURA-1;114;HidroeléctricaEmbalse
6;ANGOSTURA-2;115;HidroeléctricaEmbalse
7;ANGOSTURA-3;115;HidroeléctricaEmbalse
8;ANTILHUE-1_DIESEL;224;Diesel
9;ANTILHUE-2_DIESEL;224;Diesel
10;ARAUCO_COGEN;4;Cogeneracion
11;ARICA-GMAR_DIESEL;235;Diesel
12;ARICA-M1AR_DIESEL;235;Diesel
13;ARICA-M2AR_DIESEL;236;Diesel
14;ATACAMA-1TG1A_TG1A_DIESEL;319;Diesel
15;ATACAMA-1TG1A_TG1A_GNL_A;319;GNL
16;ATACAMA-1TG1A_TG1A_GNL_D;319;GNL
17;ATACAMA-1TG1A_TG1A_GNL_E;319;GNL
18;ATACAMA-1TG1A_TG1A+0.5TV1_DIESEL;319;Diesel
19;ATACAMA-1TG1A_TG1A+0.5TV1_GNL_A;319;GNL
20;ATACAMA-1TG1A_TG1A+0.5TV1_GNL_C;319;GNL
21;ATACAMA-1TG1A_TG1A+0.5TV1_GNL_D;319;GNL
22;ATACAMA-1TG1A_TG1A+0.5TV1_GNL_E;319;GNL
23;ATACAMA-1TG1AB_TG1A+TG1B+TV1_DIESEL;319;Diesel
24;ATACAMA-1TG1AB_TG1A+TG1B+TV1_GNL_A;319;GNL
25;ATACAMA-1TG1AB_TG1A+TG1B+TV1_GNL_C;319;GNL
26;ATACAMA-1TG1AB_TG1A+TG1B+TV1_GNL_D;319;GNL
27;ATACAMA-1TG1AB_TG1A+TG1B+TV1_GNL_E;319;GNL
28;ATACAMA-1TG1B_TG1B_DIESEL;320;Diesel
29;ATACAMA-1TG1B_TG1B_GNL_D;320;GNL
30;ATACAMA-1TG1B_TG1B_GNL_E;320;GNL
31;ATACAMA-1TG1B_TG1B+0.5TV1_DIESEL;320;Diesel
32;ATACAMA-1TG1B_TG1B+0.5TV1_GNL_A;320;GNL
33;ATACAMA-1TG1B_TG1B+0.5TV1_GNL_B;320;GNL
34;ATACAMA-1TG1B_TG1B+0.5TV1_GNL_D;320;GNL
35;ATACAMA-1TG1B_TG1B+0.5TV1_GNL_E;320;GNL
36;ATACAMA-1TG1B_TG1B+0.5TV1_GNL_INFLEX;320;GNL
37;ATACAMA-2TG2A_TG2A_DIESEL;321;Diesel
38;ATACAMA-2TG2A_TG2A_GNL_C;321;GNL
39;ATACAMA-2TG2A_TG2A_GNL_D;321;GNL
40;ATACAMA-2TG2A_TG2A_GNL_E;321;GNL
41;ATACAMA-2TG2A_TG2A+0.5TV2_DIESEL;321;Diesel
42;ATACAMA-2TG2A_TG2A+0.5TV2_GNL_A;321;GNL
43;ATACAMA-2TG2A_TG2A+0.5TV2_GNL_D;321;GNL
44;ATACAMA-2TG2A_TG2A+0.5TV2_GNL_E;321;GNL
45;ATACAMA-2TG2AB_TG2A+TG2B+TV2_DIESEL;321;Diesel
46;ATACAMA-2TG2AB_TG2A+TG2B+TV2_GNL_A;321;GNL
47;ATACAMA-2TG2AB_TG2A+TG2B+TV2_GNL_C;321;GNL
48;ATACAMA-2TG2AB_TG2A+TG2B+TV2_GNL_D;321;GNL
49;ATACAMA-2TG2AB_TG2A+TG2B+TV2_GNL_INFLEX;321;GNL
50;ATACAMA-2TG2B_TG2B_DIESEL;322;Diesel
51;ATACAMA-2TG2B_TG2B_GNL_D;322;GNL
52;ATACAMA-2TG2B_TG2B_GNL_E;322;GNL
53;ATACAMA-2TG2B_TG2B+0.5TV2_DIESEL;322;Diesel
54;ATACAMA-2TG2B_TG2B+0.5TV2_GNL_A;322;GNL
55;ATACAMA-2TG2B_TG2B+0.5TV2_GNL_B;322;GNL
56;ATACAMA-2TG2B_TG2B+0.5TV2_GNL_C;322;GNL
57;ATACAMA-2TG2B_TG2B+0.5TV2_GNL_D;322;GNL
58;ATACAMA-2TG2B_TG2B+0.5TV2_GNL_E;322;GNL
59;BOCAMINA-2_CAR;226;Carbon
60;CALLECALLE_DIESEL;227;Diesel
61;CAMPICHE_CAR;228;Carbon
62;CANDELARIA-1_DIESEL;959;Diesel
63;CANDELARIA-1_GN_A;959;GN
64;CANDELARIA-1_GNL_E;959;GNL
65;CANDELARIA-2_DIESEL;959;Diesel
66;CANDELARIA-2_GN_A;959;GN
67;CANDELARIA-2_GNL_C;959;GNL
68;CANDELARIA-2_GNL_D;959;GNL
69;CANDELARIA-2_GNL_E;959;GNL
70;CANUTILLAR;118;HidroeléctricaEmbalse
71;CANUTILLAR-1;118;HidroeléctricaEmbalse
72;CANUTILLAR-2;119;HidroeléctricaEmbalse
73;CARDONES_DIESEL;233;Diesel
74;CELCO_BL1_COGEN;237;Cogeneracion
75;CELCO_BL1+BL2_COGEN;237;Cogeneracion
76;CEMENTOSBIOBIO_DIESEL;234;Diesel
77;CEMENTOSBIOBIO_FO6;234;fuel-oil
78;CERROPABELLON-G1A_GEO;112;geotermica
79;CERROPABELLON-G2A_GEO;112;geotermica
80;CHAGUAL_DIESEL;240;fuel-oil
81;CHILOE_DIESEL;378;Diesel
82;CHOLGUAN_BL1_COGEN;301;Cogeneracion
83;CHUYACA_DIESEL;241;Diesel
84;CIPRESES_sinv;120;HidroeléctricaEmbalse
85;CIPRESES_vcuri_loma;121;HidroeléctricaEmbalse
86;CIPRESES_visla_curi_loma;121;HidroeléctricaEmbalse
87;CIPRESES-1;120;HidroeléctricaEmbalse
88;CIPRESES-2;121;HidroeléctricaEmbalse
89;CIPRESES-3;122;HidroeléctricaEmbalse
90;CMPCCORDILLERA_GN_A;12;GN
91;CMPCCORDILLERA_GNL_A;12;GNL
92;CMPCCORDILLERA_GNL_B;12;GNL
93;CMPCLAJA_BL1_COGEN;8;Cogeneracion
94;CMPCLAJA_BL1+BL2_COGEN;8;Cogeneracion
95;CMPCLAJA_BL1+BL2+BL3_COGEN;8;Cogeneracion
96;CMPCLAJA_BL1+BL2+BL3+BL4_COGEN;8;Cogeneracion
97;CMPCPACIFICO_BL1_COGEN;242;Cogeneracion
98;CMPCPACIFICO_BL1+BL2_COGEN;242;Cogeneracion
99;CMPCPACIFICO_BL1+BL2+BL3_COGEN;242;Cogeneracion
100;COCHRANE-CCH1_CAR;243;Carbon
101;COCHRANE-CCH2_CAR;244;Carbon
102;COLBUN_sinv;123;HidroeléctricaEmbalse
103;COLBUN_vmach_sign;124;HidroeléctricaEmbalse
104;COLBUN_vsign;124;HidroeléctricaEmbalse
105;COLBUN-1;123;HidroeléctricaEmbalse
106;COLBUN-2;124;HidroeléctricaEmbalse
107;COLMITO_DIESEL;246;Diesel
108;COLMITO_GN_A;246;GN
109;COLMITO_GNL_A;246;GNL
110;COMBARBALA_DIESEL;247;Diesel
111;CONCON_DIESEL;379;Diesel
112;CONSTITUCION_DIESEL;248;Diesel
113;CORONEL_DIESEL;250;Diesel
114;CORONEL_GN_A;250;GN
115;CORONEL_GNL_A;250;GNL
116;COSTO_CERO;0;CostoCero
117;CS-CERRODOMINADOR;961;ConcentradorSolar
118;DALMAGRO_DIESEL;966;Diesel
119;DEGAN_DIESEL;258;Diesel
120;DEGAN-2_DIESEL;259;Diesel
121;DEGAN2-NAVE5_DIESEL;259;Diesel
122;DEGAN-NAVE1+2_DIESEL;258;Diesel
123;ELTORO_sinv;125;HidroeléctricaEmbalse
124;ELTORO-1;125;HidroeléctricaEmbalse
125;ELTORO-2;969;HidroeléctricaEmbalse
126;ELTORO-3;126;HidroeléctricaEmbalse
127;ELTORO-4;127;HidroeléctricaEmbalse
128;ELTOTORAL_DIESEL;988;Diesel
129;EMELDA-1_DIESEL;260;Diesel
130;EMELDA-2_DIESEL;261;Diesel
131;ENAPACONCAGUA_COGEN;239;Cogeneracion
132;ENAPBIOBIO_COGEN;234;Cogeneracion
133;EPACIFICO_COGEN;13;Cogeneracion
134;ESCUADRON_COGEN;15;Cogeneracion
